business_id,name,categories,city,latitude,longitude,bussines_stars,state
3TN-ujStgKayyhu61EHdcQ,Target,"Department Stores, Fashion, Drugstores, Shopping, Electronics, Food, Grocery, Home & Garden, Furniture Stores",Cherry Hill,39.934744,-75.024516,3.0,NV
oDETvkVkHw7CjZj7ZOZFOQ,Cajun Mike's Pub & Grub,"Pubs, Cajun/Creole, Restaurants, Sandwiches, Bars, Nightlife",New Orleans,29.9537303,-90.0711912,4.0,AZ
jaJhPD1mn5aqWUr61-nxyw,Noble's Kitchen & Beer Hall,"American (Traditional), Breakfast & Brunch, Sports Bars, Venues & Event Spaces, Burgers, Nightlife, Beer Bar, Bars, Restaurants, Event Planning & Services",Nashville,36.177625,-86.751925,3.5,NV
T_GeXNYY_zO0WpJzBxQj4w,LeBus East Falls,"Nightlife, Beer Bar, Burgers, Breakfast & Brunch, American (Traditional), Restaurants, Bars, Seafood",Philadelphia,40.0088924745,-75.1937016472,3.5,AZ
t4Xg0j6xTJLph5Tb1VaMOw,The Butterfly House,"Parks, Botanical Gardens, Hotels & Travel, Local Flavor, Tours, Active Life, Event Planning & Services, Venues & Event Spaces, Museums, Arts & Entertainment",Chesterfield,38.6645754987,-90.5428576467,4.5,NV
QFzJKnSUtkgSs1lKOOxXeA,Academy of Natural Sciences,"Museums, Arts & Entertainment",Philadelphia,39.957018627,-75.1712603922,4.0,CA
hmO76DoSlxEUPJ2NN3K9aw,Fly Away Airport Parking,"Airport Shuttles, Hotels & Travel, Transportation, Parking, Automotive",Nashville,36.1032776,-86.6677192,2.5,CA
bUOkpfl9d3buEISMj2eDVA,Catalina Brewing Company,"Bars, Food, Pubs, Nightlife, Beer Bar, Breweries",Tucson,32.3323120784,-111.0568096288,4.0,NV
glMJCRj6IglVf62LRzVofQ,Hawthorne Bottle Shoppe,"Delis, Restaurants, Nightlife, Wine Bars, Bars, Beer Bar, Breakfast & Brunch",Saint Petersburg,27.771274873,-82.6731608436,4.5,AZ
MLHZ9MOx1NlIqTOkeWKipA,Hooch and Hive,"Music Venues, American (Traditional), Nightlife, Bars, Pubs, Arts & Entertainment, Restaurants, Food, Cocktail Bars, Coffee & Tea",Tampa,27.9501585306,-82.4695999548,4.0,AZ
nOjucaxOstFp29SavInxFw,Walmart Supercenter,"Grocery, Food, Discount Store, Drugstores, Department Stores, Electronics, Shopping, Fashion",Tucson,32.223715,-110.918928,2.0,AZ
-aZpjNPSNfTXYkLMkQDiKw,Spitfire Pizza,"Sandwiches, Sports Bars, Beer Bar, Bars, Pizza, Restaurants, Nightlife, Italian",Boise,43.5805097,-116.2132414,4.5,AZ
tFpstYqxugKHzeyNUsuD_A,The Pint Room,"American (Traditional), Burgers, Bars, Restaurants, Pubs, Beer Bar, American (New), Nightlife",Carmel,39.9785056799,-86.1286025097,4.0,AZ
