name,category,coordenadas,num_of_reviews,business_id,city,state,stars,review_count
MinuteClinic,Urgent care center,"40.225846, -74.9322943",16,qA3p4EHr12GnG5-TEr9bZA,Newtown,PA,2.5,21
Newtown Massage and Spa,Facial spa,"40.2730629, -74.9869026",27,gdZP3Wqg3ge3Dbd469DMag,Newtown,PA,5.0,8
Newtown Massage and Spa,Massage spa,"40.2730629, -74.9869026",27,gdZP3Wqg3ge3Dbd469DMag,Newtown,PA,5.0,8
Newtown Massage and Spa,Spa,"40.2730629, -74.9869026",27,gdZP3Wqg3ge3Dbd469DMag,Newtown,PA,5.0,8
Newtown Massage and Spa,Facial spa,"40.2730629, -74.9869026",27,gdZP3Wqg3ge3Dbd469DMag,Newtown,PA,5.0,8
Newtown Massage and Spa,Massage spa,"40.2730629, -74.9869026",27,gdZP3Wqg3ge3Dbd469DMag,Newtown,PA,5.0,8
Newtown Massage and Spa,Spa,"40.2730629, -74.9869026",27,gdZP3Wqg3ge3Dbd469DMag,Newtown,PA,5.0,8
HD Aesthetics,Medical spa,"40.2730629, -74.9869026",7,gdZP3Wqg3ge3Dbd469DMag,Newtown,PA,5.0,8
"RPL Personal Solutions - Recovery, Performance, Longevity",Fitness center,"40.2730629, -74.9869026",3,gdZP3Wqg3ge3Dbd469DMag,Newtown,PA,5.0,8
"RPL Personal Solutions - Recovery, Performance, Longevity",Health spa,"40.2730629, -74.9869026",3,gdZP3Wqg3ge3Dbd469DMag,Newtown,PA,5.0,8
AMA Sea Beauty,Spa,"34.417139, -119.6956477",3,ghIZBi-vTJofv_dG7Fjz0Q,Santa Barbara,PA,5.0,26
AMA Sea Beauty,Spa,"34.417139, -119.6956477",3,LbJKeBM-2--c6VyM3Rt-Xg,Santa Barbara,PA,3.0,5
AMA Sea Beauty,Spa,"34.417139, -119.6956477",3,ghIZBi-vTJofv_dG7Fjz0Q,Santa Barbara,PA,5.0,26
AMA Sea Beauty,Spa,"34.417139, -119.6956477",3,LbJKeBM-2--c6VyM3Rt-Xg,Santa Barbara,PA,3.0,5
Jump Star bungee trampoline,Recreation center,"40.1159439, -75.2819933",38,FyyOULcQpoWBtetKX0xlIA,Plymouth Meeting,PA,3.0,62
Jump Star bungee trampoline,Recreation center,"40.1159439, -75.2819933",38,a4InVzVAdWIqRIAF-GnN3A,Plymouth Meeting,TN,1.5,25
Jump Star bungee trampoline,Recreation center,"40.1159439, -75.2819933",38,_9EZ3zaCNtQSHYvce9EPxA,Plymouth Meeting,CA,3.5,13
Jump Star bungee trampoline,Recreation center,"40.1159439, -75.2819933",38,E8PeFto5MwjfVMP02aqGYA,Plymouth Meeting,IN,3.5,17
Jump Star bungee trampoline,Recreation center,"40.1159439, -75.2819933",38,BVNO7y66gBb82RwZVj74HQ,Plymouth Meeting,AZ,3.0,46
Jump Star bungee trampoline,Recreation center,"40.1159439, -75.2819933",38,L1sWL793cmy_AFcMRzB4GQ,Plymouth Meeting,PA,3.0,168
Jump Star bungee trampoline,Recreation center,"40.1159439, -75.2819933",38,NDS_lImreFo68xze0_niKQ,Plymouth Meeting,FL,2.5,5
Jump Star bungee trampoline,Recreation center,"40.1159439, -75.2819933",38,AzcjFY7PaWfF0OXbQUvaZA,Plymouth Meeting,PA,3.0,5
