business_id,name,categories,city,latitude,longitude,bussines_stars,state
hmO76DoSlxEUPJ2NN3K9aw,Fly Away Airport Parking,"Airport Shuttles, Hotels & Travel, Transportation, Parking, Automotive",Nashville,36.1032776,-86.6677192,2.5,CA
96myvjjiQW8ZFp4LrE1gXQ,Westward Look Wyndham Grand Resort and Spa,"Event Planning & Services, Restaurants, Hotels, Hotels & Travel, Venues & Event Spaces",Tucson,32.342479,-110.965218,3.0,AZ
x1lih3QXOz3rdRJBKoHMbw,MidAmerica St Louis Airport,"Transportation, Limos, Airports, Public Transportation, Airlines, Hotels & Travel",Mascoutah,38.5474848,-89.8157443,4.0,AZ
DXDoeVULsKLb7LLyAfvuVg,Moxy Nashville Downtown,"Event Planning & Services, Hotels, Hotels & Travel",Nashville,36.161118,-86.7753746,3.5,CA
JdR1vhCkBiTNkh_kM6Wsjg,Southwest Airlines,"Hotels & Travel, Transportation, Airlines",Tampa,27.9807435,-82.5340121,3.0,NV
PcYxtg2aC5BmhvukcGOlfw,Beachview Inn,"Hotels, Hotels & Travel, Event Planning & Services, Vacation Rentals",Clearwater Beach,27.97252,-82.8290972,3.0,NV
OypYjTC0zPu_lJ_SGzV4pw,Saddlebrook Resort Tampa,"Day Spas, Beauty & Spas, Resorts, Hotels & Travel, Restaurants",Wesley Chapel,28.2269967325,-82.3284218448,2.5,AZ
Z6hqjf076rZHcfKQRMKUmg,Kimpton Aertson Hotel,"Venues & Event Spaces, Hotels, Event Planning & Services, Hotels & Travel",Nashville,36.1486415119,-86.798840813,3.5,CA
6gdAMPGsK0D_3u8h3A8H2A,The Warwick Hotel Rittenhouse Square,"Hotels & Travel, Hotels, Event Planning & Services, Caterers",Philadelphia,39.9486999512,-75.1694030762,3.0,NV
KGBjEO-FilXoCK_Pk-jsvA,Penn's View Hotel,"Hotels, Hotels & Travel, Event Planning & Services",Philadelphia,39.950201,-75.142285,4.0,NV
10LguIzpeYam06-APg8iBA,Loews Vanderbilt Hotel,"Utilities, IT Services & Computer Repair, Internet Service Providers, Hotels & Travel, Event Planning & Services, Local Services, Hotels, Home Services, Professional Services",Nashville,36.1505074723,-86.8026042766,3.5,AZ
iJ3A49gtUPspc7nd4Ov2HA,Escape My Room,"Local Flavor, Challenge Courses, Event Planning & Services, Active Life, Arts & Entertainment, Venues & Event Spaces, Hotels & Travel, Escape Games, Tours, Museums",New Orleans,29.9473568,-90.0679304,5.0,AZ
kGpHN4I3Z4jpcudKhsg71g,Enterprise Rent-A-Car,"Hotels & Travel, Car Rental",Bryn Mawr,40.0181616356,-75.3122513242,4.0,NV
cxB31SdS6anItwCmTOKtNg,International House Hotel,"Hotels & Travel, Hotels, Event Planning & Services",New Orleans,29.9512243,-90.0689468,3.5,AZ
OTXWDPg-5YXq4L5fDLJd_g,Quality Inn East,"Hotels, Event Planning & Services, Hotels & Travel",Indianapolis,39.797247,-86.043651,2.0,AZ
2XEf2xOj-iZImMeWELkQFw,Place d'Armes Hotel,"Event Planning & Services, Hotels, Hotels & Travel",New Orleans,29.958753,-90.063406,4.0,NV
hXENwSCtd8pdBrnN8XkXyA,Renaissance St. Louis Airport Hotel,"Hotels, Hotels & Travel, Event Planning & Services, Venues & Event Spaces",St. Louis,38.73212,-90.346234,3.0,CA
8XtpIfn6bjrzKQraKuZHEQ,Renaissance Philadelphia Downtown Hotel,"Hotels, Hotels & Travel, Event Planning & Services, Venues & Event Spaces",Philadelphia,39.9490202,-75.1478095,3.0,CA
p6H295aQCbDJ80GcpqFvwA,Club Quarters Philadelphia,"Hotels, Event Planning & Services, Hotels & Travel",Philadelphia,39.9512939,-75.1684401,3.0,CA
8JJSe4zRLqmJUnjPzUvCEA,AC Hotel by Marriott Tucson Downtown,"Venues & Event Spaces, Event Planning & Services, Hotels, Hotels & Travel",Tucson,32.2215629,-110.9673821,3.0,AZ
oVr68YLI0PMSkEc_SHMkFA,"The Ritz-Carlton, St. Louis","Hotels, Event Planning & Services, Hotels & Travel, Party & Event Planning, Venues & Event Spaces",St. Louis,38.6482356598,-90.3309796751,4.0,CA
kYgMSD2obyOgORgd3RSE_w,Mr John's Steakhouse,"Seafood, Fitness & Instruction, Hotels, Hotels & Travel, Gyms, Active Life, Event Planning & Services, Restaurants, Steakhouses",New Orleans,29.9349207,-90.0802564,4.0,NV
4ich7wsPzXjfTVmFENm51Q,Green Fleet Bike Shop,"Sporting Goods, Tours, Bikes, Bike Rentals, Hotels & Travel, Shopping, Active Life",Nashville,36.1727303,-86.7943267,4.5,NV
hAZlcREMAHe0z9GbMX-Faw,Hyatt Centric French Quarter New Orleans,"Hotels & Travel, Event Planning & Services, Hotels",New Orleans,29.9550373429,-90.0700573,4.0,NV
M3G7USDHXk--ZycO1Zjs1w,Bob Evans,"Hotels & Travel, Restaurants, Comfort Food, Salad, Bed & Breakfast, Breakfast & Brunch, American (Traditional), Sandwiches",Ruskin,27.7113102,-82.3773791595,3.0,CA
w37sJQmXgGzRK6MCackIyw,Seaside Inn & Suites,Hotels & Travel,Clearwater,27.9710464276,-82.8292674199,1.5,CA
j2PtdsRf9m9SGdwFfGfssw,Boise Hotel and Conference Center,"Hotels, Event Planning & Services, Hotels & Travel",Boise,43.5727764,-116.2141257,2.0,CA
qeJ7HUUo-Cg75fxDV2dDbA,Allegiant Air,"Hotels & Travel, Airlines, Transportation",Clearwater,27.9052190108,-82.6923751831,2.0,CA
toEYTrafM81UMo2GyCSxFw,Cambria Hotel Philadelphia Downtown Center City,"Hotels, Event Planning & Services, Hotels & Travel",Philadelphia,39.9486052,-75.1640808,3.5,CA
pfl45YV5Us5NvDm5cLremw,Lavender Inn by the Sea,"Hotels, Event Planning & Services, Hotels & Travel",Santa Barbara,34.4097626481,-119.6982318921,4.5,AZ
GTNh2Jx56qE5kJSOVZxZlg,Cigar City Brewing,"Cuban, Food, Airports, Restaurants, Breweries, Hotels & Travel, Tours",Tampa,27.976725964,-82.5377468,3.0,NV
EEbKsmWBhkjWEzEFWsnEZA,Le Méridien New Orleans,"Event Planning & Services, Hotels & Travel, Hotels, Venues & Event Spaces",New Orleans,29.9489972174,-90.0663200696,3.0,AZ
6RmCKos_1EmLtg4oQXR9hw,Residence Inn by Marriott Clearwater Downtown,"Hotels, Hotels & Travel, Event Planning & Services",Clearwater,27.961903,-82.793391,4.5,CA
jX1kNhinDzathM9gLumIjA,"Brisas Del Mar, Inn at the Beach","Event Planning & Services, Hotels & Travel, Hotels",Santa Barbara,34.4101247243,-119.6972139087,4.5,CA
lzo5vrmcxGcsyPMaGrnQVg,Aloft Nashville West End,"Hotels, Hotels & Travel, Event Planning & Services",Nashville,36.1527508,-86.795497,2.5,NV
71cUrGn9enOIIiPtwqp82w,Germantown Cab,"Taxis, Hotels & Travel, Transportation",Philadelphia,40.03696,-75.166095,1.5,CA
kLnOdN3_HuF1iXjtkb79aw,Courtyard by Marriott Boise Downtown,"Event Planning & Services, Hotels, Hotels & Travel",Boise,43.6075508711,-116.1914321411,3.5,CA
vbNQyHZ1M8jz6jcR0jTU3Q,Homewood Suites by Hilton Nashville-Downtown,"Event Planning & Services, Hotels & Travel, Hotels",Nashville,36.1621311,-86.7830645,3.5,AZ
k1EL0UvRYao_La9zdeUfJw,Hilton New Orleans Airport,"Hotels, Event Planning & Services, Hotels & Travel",Kenner,29.981288,-90.2571349,2.5,CA
wHicEIN-xE-uZD_JoyrzTQ,Hyatt Place Tampa/Busch Gardens,"Venues & Event Spaces, Hotels & Travel, Hotels, Event Planning & Services",Tampa,28.0523232,-82.4277647,3.5,NV
